title,year,director,tmdb_id,poster_path,matched_title,matched_year,original_language,reason
Kabir Singh,2019,Sandeep Reddy Vanga,577328,/unqiPjtc6CGqs13zho7ZvWU85zu.jpg,Kabir Singh,2019,hi,
Uri: The Surgical Strike,2019,Aditya Dhar,554600,/yNySAgpAnWmPpYinim9E0tUzJWG.jpg,Uri: The Surgical Strike,2019,hi,
Good Newwz,2019,Raj Mehta,643534,/1YWp8MdXZAZvXgnWyv2RgMaG3Ps.jpg,Good Newwz,2019,hi,
Bharat,2019,Ali Abbas Zafar,569594,/aawdjzVsfKvRRIFu9Ni74wZyjc8.jpg,Bharat,2019,hi,
Kesari,2019,Anurag Singh,498448,/ctjT1pMNAGD9ou0kuhz806tf7kX.jpg,Kesari,2019,hi,
Chhichhore,2019,Nitesh Tiwari,596650,/cGDPQtQ5igtPMt3oJ6BCAor6dFp.jpg,Chhichhore,2019,hi,
Super 30,2019,Vikas Bahl,534075,/n0LdZvEqZjnSQSHzzwryFBYjXk1.jpg,Super 30,2019,hi,
De De Pyaar De,2019,Akiv Ali,590401,/lKxbegRPahPDeOYeaDHhsNJDZU8.jpg,De De Pyaar De,2019,hi,
Article 15,2019,Anubhav Sinha,597089,/egknEWNt2B0slG2OC0gSpLZdVHj.jpg,Article 15,2019,hi,
Saaho (Hindi),2019,Sujeeth,,,,,,NO_RESULTS
Mission Mangal,2019,Jagan Shakti,611594,/yUR7yDFNXQSoA51G0PPjIXOG2C9.jpg,Mission Mangal,2019,hi,
Sooryavanshi,2020,Rohit Shetty,,,,,,NO_RESULTS
Dil Bechara,2020,Mukesh Chhabra,645484,/lMFjMrc8Bn0CQhtJDORfspXrWrK.jpg,Dil Bechara,2020,hi,
Gulabo Sitabo,2020,Shoojit Sircar,611356,/6ABuPqPqRv2iSDyLf9KJrLoNV2A.jpg,Gulabo Sitabo,2020,hi,
Roohi,2021,Hardik Mehta,694103,/10kCy34fbgU9nI5ScfMcCGebNgo.jpg,Roohi,2021,hi,
Radhe: Your Most Wanted Bhai,2021,Prabhu Deva,679844,/n6kZfTjuTK3P9ByRFTkBlUwdBRA.jpg,Radhe,2021,hi,
Hunterr,2021,Harshavardhan Kulkarni,,,,,,NO_RESULTS
Brahmastra Part One: Shiva,2022,Ayan Mukerji,496331,/x61qdvHIsr9U53FwoLVDQqAGur0.jpg,Brahmāstra Part One: Shiva,2022,hi,
Vikram Vedha,2022,Pushkar-Gayatri,851783,/8L4vvIQvO8viLw8wyi2slQmU2sW.jpg,Vikram Vedha,2022,hi,
Doctor G,2022,Anubhuti Kashyap,778625,/ojQbYD4pHKBrnxrG0FBdqGCHhlq.jpg,Doctor G,2022,hi,
Attack,2022,Lakshya Raj Anand,799155,/A9FjibQFfkPVrfQcM3dlY6fkYpJ.jpg,Attack,2022,hi,
Jug Jugg Jeeyo,2022,Raj Mehta,765019,/ovyWtXhPRKKpSyMUIVYBWiurggY.jpg,JugJugg Jeeyo,2022,hi,
Runway 34,2022,Ajay Devgn,766116,/8RlQEuxeRqHh7sWTRswdUC9kP3H.jpg,Runway 34,2022,hi,
Laal Singh Chaddha,2022,Advait Chandan,601635,/g5rNmcznZX0UPm8CGjfk7kHcAbq.jpg,Laal Singh Chaddha,2022,hi,
